	bioproject	Title	collection_date	geo_loc_name	lat_lon	isolate	depth	elev	isolation_source	host	sample_type	description	env_broad_scale	env_local_scale	env_medium	BioSampleModel	replicate	harvest	isotope	fraction	density.g.ml	qPCR.16S.copies.ul	leaf	BioProject	Unnamed: 2	env_biome	env_feature	env_material	host_taxid	ref_biomaterial	rel_to_oxygen	samp_collect_device	differentiation	host_disease	host_genotype	source_material_id	samp_mat_process	samp_size	loader	Attribute	host_height	strain	ecotype	isol_growth_condt	host_age	host_infra_specific_name	plant_body_site	host_health_status	Sample_identity	host_life_stage	air_temp_regm	climate_environment	Stefanie Glaeser	Ebru Aydogan	Peter Kaempfer	ENA-FIRST-PUBLIC	ENA-LAST-UPDATE	ENA first public	ENA last update	External Id	INSDC center alias	INSDC center name	INSDC first public	INSDC last update	INSDC status	Submitter Id	collection date	environment (biome)	environment (feature)	environment (material)	geographic location (country and/or sea)	geographic location (latitude)	geographic location (longitude)	host-associated environmental package	investigation type	project name	sample name	sequencing method	replicates	fungicide_regm	miscellaneous environmental package	ID	envir_treatment	sample_ID	altitude	temp	tree_height	Plantation	Replicate	humidity_regm	mechanical_damage	radiation_regm	samp_store_loc	samp_store_temp	season_environment	cultivar	plot	Sequencing Technology	Plant ID	collected_by	agricultural_management	antibiotic_regm	biotic_relationship	chem_administration	chem_mutagen	extrachrom_elements	fertilizer_regm	gravity	growth_hormone_regm	growth_med	herbicide_regm	host_dry_mass	host_infra_specific_rank	host_length	host_phenotype	host_tot_mass	host_wet_mass	mineral_nutr_regm	misc_param	non_mineral_nutr_regm	omics_observ_id	organism_count	oxy_stat_samp	perturbation	pesticide_regm	ph_regm	plant_product	rainfall_regm	salt_regm	samp_salinity	samp_store_dur	samp_vol_we_dna_ext	standing_water_regm	subspecf_gen_lin	tiss_cult_growth_med	trophic_level	water_temp_regm	watering_regm	Site	Meter	TransectLocation	SiteDescription	PCC	d15N_NA	d15N	perc_N	C.N	Tree_density	BA_m2	perc.sw	perc.hw	Moisture	FixationRate	MAT	MAP	UV_light	Radiation	Olayer.depth	Perm.depth	pH
SAMN16508357	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	6	1.694944	294.5108978	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508356	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	5	1.692701	54615.41486	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507843	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	18	9	1.684335	127782.2003	Arizona Ash																																																																																																																																									
SAMN16508355	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	4	1.6915795	43384.79955	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508354	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	3	1.6915795	58182.02343	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508353	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	2	1.6893365	240598.4289	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508352	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	17	1.726346	4479.626743	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508351	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	16	1.7229815	4695.64794	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508350	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	15	1.719617	7889.739665	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508349	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	14	1.7162525	1200.934905	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508348	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	13	1.712888	3477.769208	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508347	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	12	1.710645	3581.144169	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508346	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	11	1.7095235	7952.781149	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507842	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	18	8	1.679875	181474.3853	Arizona Ash																																																																																																																																									
SAMN16508345	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N3	H1	16	10	1.706159	4119.721098	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508322	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	4	1.6570885	45959.94431	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508321	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	3	1.6539154	91789.15615	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508320	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	20	1.7089158	511.2979077	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508319	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	2	1.6528577	157322.9365	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508318	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	19	1.7078581	9092.439044	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508317	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	18	1.7057427	2476.461512	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508316	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	17	1.7057427	990.5803375	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507839	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	18	5	1.66538	2282132.562	Arizona Ash																																																																																																																																									
SAMN16508315	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	16	1.7004542	1212.775674	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508314	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	15	1.6993965	841.5406465	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508313	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	14	1.6962234	876.7855411	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508312	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	13	1.6951657	638.6567849	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508311	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	12	1.6898772	5492.681992	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508310	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	11	1.6782425	43230.36262	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508309	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	10	1.6771848	8681.462055	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508308	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H2	16	1	1.6518	223978.2403	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508307	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	9	1.6893365	41683.896	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508306	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	8	1.6870935	41714.39362	Narrowleaf Cottonwood																																																																																																																																									
SAMN16507838	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	18	4	1.66092	555953.3703	Arizona Ash																																																																																																																																									
SAMN16508305	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	7	1.681486	29063.20404	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508304	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	6	1.674757	13309.18625	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508303	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	5	1.670271	18391.56179	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508302	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	4	1.6669065	9432.312145	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508301	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	N2	H1	18	3	1.663542	3571.048368	Narrowleaf Cottonwood																																																																																																																																									
SAMN16508192	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	3	1.6627104	730.4645185	Fremont Cottonwood																																																																																																																																									
SAMN16508191	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	20	1.72861	106.6538221	Fremont Cottonwood																																																																																																																																									
SAMN16508190	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	2	1.6558932	602.608194	Fremont Cottonwood																																																																																																																																									
SAMN16508189	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	19	1.7274738	252.889048	Fremont Cottonwood																																																																																																																																									
SAMN16508188	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	18	1.7240652	97.21512396	Fremont Cottonwood																																																																																																																																									
SAMN16508187	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	17	1.7217928	143.9136974	Fremont Cottonwood																																																																																																																																									
SAMN16508186	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	15	1.7127032	65.33435137	Fremont Cottonwood																																																																																																																																									
SAMN16507826	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	6	1.668725	3023.675428	Arizona Ash																																																																																																																																									
SAMN16507790	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H1	16	13	1.708964	500.5463351	Arizona Ash																																																																																																																																									
SAMN16508185	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	14	1.7092946	139.5426977	Fremont Cottonwood																																																																																																																																									
SAMN16508184	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	12	1.7024774	287.4704846	Fremont Cottonwood																																																																																																																																									
SAMN16508183	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	11	1.6979326	335.7184028	Fremont Cottonwood																																																																																																																																									
SAMN16508182	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F4	H1	16	10	1.6956602	77.13999264	Fremont Cottonwood																																																																																																																																									
SAMN16508181	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	9	1.693393	160.245565	Fremont Cottonwood																																																																																																																																									
SAMN16508180	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	8	1.690042	200.774446	Fremont Cottonwood																																																																																																																																									
SAMN16508179	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	7	1.687808	230.7088304	Fremont Cottonwood																																																																																																																																									
SAMN16508178	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	4	1.681106	652.4316293	Fremont Cottonwood																																																																																																																																									
SAMN16508177	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	3	1.677755	415.2095594	Fremont Cottonwood																																																																																																																																									
SAMN16508176	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	17	1.730254	29.36820851	Fremont Cottonwood																																																																																																																																									
SAMN16507825	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A1	H2	16	5	1.664265	17357.9557	Arizona Ash																																																																																																																																									
SAMN16508175	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	16	1.725786	51.66502281	Fremont Cottonwood																																																																																																																																									
SAMN16508174	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	15	1.722435	85.98829038	Fremont Cottonwood																																																																																																																																									
SAMN16508173	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	13	1.710148	60.25112397	Fremont Cottonwood																																																																																																																																									
SAMN16508172	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	F3	H2	18	12	1.70568	105.2432817	Fremont Cottonwood																																																																																																																																									
SAMN16508539	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	6	1.6616772	67.6183625	Gambel Oak																																																																																																																																									
SAMN16508538	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	5	1.6591696	59.79517791	Gambel Oak																																																																																																																																									
SAMN16508537	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	4	1.6541544	97.67775384	Gambel Oak																																																																																																																																									
SAMN16508536	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	3	1.644124	86.78384393	Gambel Oak																																																																																																																																									
SAMN16507861	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	1	1.66388	6676.132056	Arizona Ash																																																																																																																																									
SAMN16508535	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	20	1.7356514	36.51789537	Gambel Oak																																																																																																																																									
SAMN16508534	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	2	1.6328398	23.46960372	Gambel Oak																																																																																																																																									
SAMN16508533	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	19	1.7306362	104.9000771	Gambel Oak																																																																																																																																									
SAMN16508532	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	18	1.725621	76.59145819	Gambel Oak																																																																																																																																									
SAMN16508531	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	17	1.7206058	158.7791492	Gambel Oak																																																																																																																																									
SAMN16508530	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	16	1.7155906	129.1398481	Gambel Oak																																																																																																																																									
SAMN16508529	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	15	1.7093216	149.2751701	Gambel Oak																																																																																																																																									
SAMN16508528	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	14	1.7043064	609.2512135	Gambel Oak																																																																																																																																									
SAMN16508527	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	13	1.6980374	1547.177164	Gambel Oak																																																																																																																																									
SAMN16508526	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	12	1.694276	1273.186147	Gambel Oak																																																																																																																																									
SAMN16507860	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	16	9	1.699716	23587.2803	Arizona Ash																																																																																																																																									
SAMN16508525	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	11	1.688007	1962.400975	Gambel Oak																																																																																																																																									
SAMN16508524	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	18	10	1.6829918	2149.935532	Gambel Oak																																																																																																																																									
SAMN16508523	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	9	1.688007	22969.22922	Gambel Oak																																																																																																																																									
SAMN16508522	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	8	1.6867532	35016.92079	Gambel Oak																																																																																																																																									
SAMN16508521	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	7	1.6779766	36657.94793	Gambel Oak																																																																																																																																									
SAMN16508520	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	6	1.6742152	41808.07458	Gambel Oak																																																																																																																																									
SAMN16508519	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	5	1.6704538	30624.05575	Gambel Oak																																																																																																																																									
SAMN16508518	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O2	H1	16	19	1.738159	1353.882505	Gambel Oak																																																																																																																																									
SAMN16508604	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	15	1.6919926	318.7012184	Gambel Oak																																																																																																																																									
SAMN16508603	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	14	1.6877618	316.439439	Gambel Oak																																																																																																																																									
SAMN16508602	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	13	1.683531	1415.678226	Gambel Oak																																																																																																																																									
SAMN16508601	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	12	1.6793002	3158.865884	Gambel Oak																																																																																																																																									
SAMN16508600	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	11	1.6750694	3232.763732	Gambel Oak																																																																																																																																									
SAMN16508599	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H2	16	10	1.6718963	3247.712061	Gambel Oak																																																																																																																																									
SAMN16508598	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	9	1.6892608	47061.69556	Gambel Oak																																																																																																																																									
SAMN16508597	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	7	1.681738	61666.12615	Gambel Oak																																																																																																																																									
SAMN16508596	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	6	1.6742152	20174.35414	Gambel Oak																																																																																																																																									
SAMN16507867	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	A2	H1	18	15	1.740176	468.3173494	Arizona Ash																																																																																																																																									
SAMN16508595	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	5	1.6704538	26403.36323	Gambel Oak																																																																																																																																									
SAMN16508594	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	4	1.6679462	12934.86041	Gambel Oak																																																																																																																																									
SAMN16508593	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	3	1.662931	7489.830264	Gambel Oak																																																																																																																																									
SAMN16508592	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	2	1.6541544	1128.153666	Gambel Oak																																																																																																																																									
SAMN16508591	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	18	1.73189	113.5393789	Gambel Oak																																																																																																																																									
SAMN16508590	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	17	1.7268748	1081.304909	Gambel Oak																																																																																																																																									
SAMN16508589	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	16	1.7231134	508.7177009	Gambel Oak																																																																																																																																									
SAMN16508588	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	14	1.7143368	3143.507898	Gambel Oak																																																																																																																																									
SAMN16508587	PRJNA669386		2015-05-01	USA: Beaver Creek, AZ	not collected		not applicable						not collected	stream	decomposing leaf	MIGS/MIMS/MIMARKS.water	O3	H1	18	13	1.7105754	985.9060516	Gambel Oak																																																																																																																																									
